Categoría,,Alarma/Warning,,Descripción,Aplica a,Prioridad
Carrocería,0x01,Vibración,,Vibración sostenida del vehículo >5Hz,Flotas de Trabajo | Transporte | Maquinaria Agrícola,Aviso
Carrocería,0x02,Capó Abierto,,Capó del motor abierto,Flotas de Trabajo | Transporte | Vehículos Particulares,Aviso
Carrocería,0x03,Capó Cerrado,General,Capó del motor cerrado (confirmación de estado),Flotas de Trabajo | Transporte | Vehículos Particulares,Aviso
Carrocería,0x04,Puerta Del. Izq. Abierta,,Puerta delantera izquierda abierta,Flotas de Trabajo | Transporte,Aviso
Carrocería,0x05,Puerta Del. Izq. Cerrada,,Puerta delantera izquierda cerrada (confirmación),Flotas de Trabajo | Transporte,Aviso
Carrocería,0x06,Puerta Del. Der. Abierta,,Puerta delantera derecha abierta,Flotas de Trabajo | Transporte,Aviso
Carrocería,0x07,Puerta Del. Der. Cerrada,,Puerta delantera derecha cerrada (confirmación),Flotas de Trabajo | Transporte,Aviso
Carrocería,0x08,Puerta Tras. Izq. Abierta,,Puerta trasera izquierda abierta,Flotas de Trabajo | Transporte,Aviso
Carrocería,0x09,Puerta Tras. Izq. Cerrada,,Puerta trasera izquierda cerrada (confirmación),Flotas de Trabajo | Transporte,Aviso
Carrocería,0x10,Puerta Tras. Der. Abierta,,Puerta trasera derecha abierta,Flotas de Trabajo | Transporte,Aviso
Carrocería,0x11,Puerta Tras. Der. Cerrada,,Puerta trasera derecha cerrada (confirmación),Flotas de Trabajo | Transporte,Aviso
Carrocería,0x12,RES.,,,,
Carrocería,0x13,RES.,,,,
Carrocería,0x14,RES.,,,,
Carrocería,0x15,RES.,,,,
Carrocería,0x16,RES.,,,,
Carrocería,0x17,RES.,,,,
Carrocería,0x18,RES.,,,,
Carrocería,0x19,RES.,,,,
Conectividad,0x20,Reconección GPS,,Restauración de conexión GPS después de pérdida,Flotas de Trabajo | Transporte | Vehículos Particulares | Maquinaria Agrícola,Aviso
Conectividad,0x21,Reconección GPRS,,Restauración de conexión GPRS después de pérdida,Flotas de Trabajo | Transporte | Vehículos Particulares | Maquinaria Agrícola,Aviso
Conectividad,0x22,Pérdida Conec. WiFi,,Desconexión de red WiFi,Flotas de Trabajo | Transporte | Vehículos Particulares,Aviso
Conectividad,0x23,Reconección WiFi,,Restauración de conexión WiFi,Flotas de Trabajo | Transporte | Vehículos Particulares,Aviso
Conectividad,0x24,Batería Tracker – Baja,,Batería interna del tracker <15%,Flotas de Trabajo | Transporte | Vehículos Particulares | Maquinaria Agrícola,Aviso
Conectividad,0x25,Corte Antena GPS,,Antena GPS desconectada o cortada,Flotas de Trabajo | Transporte | Vehículos Particulares | Maquinaria Agrícola,Crítica
Conectividad,0x26,Tracker Offline,,Dispositivo GPS sin comunicación >10min,Flotas de Trabajo | Transporte | Vehículos Particulares | Maquinaria Agrícola,Crítica
Conectividad,0x27,Pérdida Conec. GPS,,Pérdida de conexión GPS (sin satélites disponibles),Flotas de Trabajo | Transporte | Vehículos Particulares | Maquinaria Agrícola,Urgente
Conectividad,0x28,Pérdida Conec. GPRS,,Pérdida de conexión GPRS/3G/4G con servidor,Flotas de Trabajo | Transporte | Vehículos Particulares | Maquinaria Agrícola,Urgente
Conectividad,0x29,RES.,,,,
Conectividad,0x30,RES.,,,,
Conectividad,0x31,RES.,,,,
Conectividad,0x32,RES.,,,,
Conectividad,0x33,RES.,,,,
Conectividad,0x34,RES.,,,,
Geolocalización,0x35,Entrada Geocerca,,Ingreso a zona geográfica permitida (confirmación positiva),Flotas de Trabajo | Transporte | Maquinaria Agrícola,Aviso
Geolocalización,0x36,Salida Geocerca,,Salida de zona geográfica permitida (confirmación positiva),Flotas de Trabajo | Transporte | Maquinaria Agrícola,Aviso
Geolocalización,0x37,Entrada Zona Restricta,,Ingreso a geocerca prohibida o zona de riesgo,Flotas de Trabajo | Transporte | Maquinaria Agrícola,Urgente
Geolocalización,0x38,RES.,,,,
Geolocalización,0x39,RES.,,,,
Motor,0x40,Consumo Anómalo,,Consumo de combustible inconsistente con distancia/tiempo,Flotas de Trabajo | Transporte | Maquinaria Agrícola,Aviso
Motor,0x41,SERVICE – Motor,Alarma de fallo,Mantenimiento del motor vencido o próximo,Flotas de Trabajo | Transporte | Vehículos Particulares | Maquinaria Agrícola,Aviso
Motor,0x42,SERVICE – Transmisión,,Mantenimiento de transmisión/caja de cambios vencido,Flotas de Trabajo | Transporte | Vehículos Particulares | Maquinaria Agrícola,Aviso
Motor,0x43,Horas Motor – Crítico,,Contador de horas motor excede intervalo de mantenimiento,Maquinaria Agrícola | Flotas de Trabajo,Aviso
Motor,0x44,Temp. Motor – Baja,,Temperatura del motor <40°C (motor frío o falla sensor),Flotas de Trabajo | Transporte | Maquinaria Agrícola,Aviso
Motor,0x45,Ralentí,,Motor en ralentí prolongado o fuera de rango RPM normal,Flotas de Trabajo | Transporte | Maquinaria Agrícola,Aviso
Motor,0x46,Fuga Combustible,,Pérdida de combustible detectada o consumo anómalo acelerado,Flotas de Trabajo | Transporte | Maquinaria Agrícola,Urgente
Motor,0x47,Temp. Motor – Alta,,Temperatura del motor >95°C indicando sobrecalentamiento,Flotas de Trabajo | Transporte | Maquinaria Agrícola,Urgente
Motor,0x48,Presión de Aceite – Baja,General,Presión de aceite del motor por debajo de rango normal,Flotas de Trabajo | Transporte | Maquinaria Agrícola,Urgente
Motor,0x49,RPM – Altas,,Revoluciones del motor excesivas (>3000 en operación normal),Flotas de Trabajo | Transporte | Maquinaria Agrícola,Urgente
Motor,0x50,Fuga Refrigerante,Alarma de fallo,Pérdida de líquido refrigerante del motor,Flotas de Trabajo | Transporte | Maquinaria Agrícola,Urgente
Motor,0x51,RES.,,,,
Motor,0x52,RES.,,,,
Motor,0x53,RES.,,,,
Motor,0x54,RES.,,,,
Motor,0x55,RES.,,,,
Motor,0x56,RES.,,,,
Motor,0x57,RES.,,,,
Motor,0x58,RES.,,,,
Motor,0x59,RES.,,,,
Seguridad Patrimonial,0x60,Desbloqueo,,Vehículo desbloqueado (si sistema de bloqueo remoto),Flotas de Trabajo | Transporte | Vehículos Particulares,Aviso
Seguridad Patrimonial,0x61,Bloqueo,,Vehículo bloqueado (si sistema de bloqueo remoto),Flotas de Trabajo | Transporte | Vehículos Particulares,Aviso
Seguridad Patrimonial,0x62,Inhibidor Señal,,Bloqueador de señal GPS/GPRS detectado,Flotas de Trabajo | Transporte | Vehículos Particulares,Crítica
Seguridad Patrimonial,0x63,Manipulación / Sabotaje,,Intento de manipulación del dispositivo o sabotaje detectado,Flotas de Trabajo | Transporte | Vehículos Particulares,Crítica
Seguridad Patrimonial,0x64,Remoción,,Vehículo removido de ubicación sin autorización,Flotas de Trabajo | Transporte | Vehículos Particulares,Crítica
Seguridad Patrimonial,0x65,Grúa / Remolque / Robo,,Detección de grúa/sistema de carga en movimiento o acoplamiento anómalo,Flotas de Trabajo,Urgente
Seguridad Patrimonial,0x66,RES.,,,,
Seguridad Patrimonial,0x67,RES.,,,,
Seguridad Patrimonial,0x68,RES.,,,,
