Categoría,,Alarma/Warning,,,Descripción,Aplica a,Prioridad
Carrocería,0x01,Vibración,alarm,,Vibración sostenida del vehículo >5Hz,Flotas de Trabajo | Transporte | Maquinaria Agrícola,Aviso
Carrocería,0x02,Capó Abierto,alarm,,Capó del motor abierto,Flotas de Trabajo | Transporte | Vehículos Particulares,Aviso
Carrocería,0x03,Capó Cerrado,aviso,,Capó del motor cerrado (confirmación de estado),Flotas de Trabajo | Transporte | Vehículos Particulares,Aviso
Carrocería,0x04,Puerta Del. Izq. Abierta,alarm,,Puerta delantera izquierda abierta,Flotas de Trabajo | Transporte,Aviso
Carrocería,0x05,Puerta Del. Izq. Cerrada,aviso,,Puerta delantera izquierda cerrada (confirmación),Flotas de Trabajo | Transporte,Aviso
Carrocería,0x06,Puerta Del. Der. Abierta,alarm,,Puerta delantera derecha abierta,Flotas de Trabajo | Transporte,Aviso
Carrocería,0x07,Puerta Del. Der. Cerrada,aviso,,Puerta delantera derecha cerrada (confirmación),Flotas de Trabajo | Transporte,Aviso
Carrocería,0x08,Puerta Tras. Izq. Abierta,alarm,,Puerta trasera izquierda abierta,Flotas de Trabajo | Transporte,Aviso
Carrocería,0x09,Puerta Tras. Izq. Cerrada,aviso,,Puerta trasera izquierda cerrada (confirmación),Flotas de Trabajo | Transporte,Aviso
Carrocería,0x10,Puerta Tras. Der. Abierta,alarm,,Puerta trasera derecha abierta,Flotas de Trabajo | Transporte,Aviso
Carrocería,0x11,Puerta Tras. Der. Cerrada,aviso,,Puerta trasera derecha cerrada (confirmación),Flotas de Trabajo | Transporte,Aviso
Carrocería,0x12,RES.,,,,,
Carrocería,0x13,RES.,,,,,
Carrocería,0x14,RES.,,,,,
Carrocería,0x15,RES.,,,,,
Carrocería,0x16,RES.,,,,,
Carrocería,0x17,RES.,,,,,
Carrocería,0x18,RES.,,,,,
Carrocería,0x19,RES.,,,,,
