0x01,Vibración
0x02,Capó Abierto
0x03,Capó Cerrado
0x04,Puerta Del. Izq. Abierta
0x05,Puerta Del. Izq. Cerrada
0x06,Puerta Del. Der. Abierta
0x07,Puerta Del. Der. Cerrada
0x08,Puerta Tras. Izq. Abierta
0x09,Puerta Tras. Izq. Cerrada
0x10,Puerta Tras. Der. Abierta
0x11,Puerta Tras. Der. Cerrada
0x12,RES.
0x13,RES.
0x14,RES.
0x15,RES.
0x16,RES.
0x17,RES.
0x18,RES.
0x19,RES.
0x20,Reconección GPS
0x21,Reconección GPRS
0x22,Pérdida Conec. WiFi
0x23,Reconección WiFi
0x24,Batería Tracker – Baja
0x25,Corte Antena GPS
0x26,Tracker Offline
0x27,Pérdida Conec. GPS
0x28,Pérdida Conec. GPRS
0x29,RES.
0x30,RES.
0x31,RES.
0x32,RES.
0x33,RES.
0x34,RES.
0x35,Entrada Geocerca
0x36,Salida Geocerca
0x37,Entrada Zona Restricta
0x38,RES.
0x39,RES.
0x40,Consumo Anómalo
0x41,SERVICE – Motor
0x42,SERVICE – Transmisión
0x43,Horas Motor – Crítico
0x44,Temp. Motor – Baja
0x45,Ralentí
0x46,Fuga Combustible
0x47,Temp. Motor – Alta
0x48,Presión de Aceite – Baja
0x49,RPM – Altas
0x50,Fuga Refrigerante
0x51,RES.
0x52,RES.
0x53,RES.
0x54,RES.
0x55,RES.
0x56,RES.
0x57,RES.
0x58,RES.
0x59,RES.
0x60,Desbloqueo
0x61,Bloqueo
0x62,Inhibidor Señal
0x63,Manipulación / Sabotaje
0x64,Remoción
0x65,Grúa / Remolque / Robo
0x66,RES.
0x67,RES.
0x68,RES.
0x69,RES.
0x70,Baja Velocidad
0x71,Cambio Carril
0x72,Posible Accidente
0x73,Vuelco
0x74,Velocidad Anómala Agrícola
0x75,Desplazamiento Nocturno
0x76,Aceleración Brusca
0x77,Exceso Velocidad
0x78,Frenada Brusca
0x79,Curva Brusca
0x80,Tiempo Conducción – Crítico
0x81,Fatiga Conductor
0x82,Conducción Nocturna
0x83,Caída
0x84,RES.
0x85,RES.
0x86,RES.
0x87,RES.
0x88,RES.
0x89,RES.
0x90,Presión de Aire – Baja
0x91,Freno de Pie
0x92,RES.
0x93,RES.
0x94,RES.
0x95,RES.
0x96,RES.
0x97,RES.
0x98,RES.
0x99,SOS
